Date,Transaction Description,Category,Amount,Type
2024-06-06,Ola,Transport,921,Debit
2024-11-25,Uber,Transport,713,Debit
2024-04-24,Swiggy,Food,2035,Debit
2024-10-13,Uber,Transport,456,Debit
2024-05-08,Swiggy,Food,2174,Debit
2024-10-16,Swiggy,Food,503,Debit
2023-05-05,Ola,Transport,1766,Debit
2023-04-23,Uber,Transport,439,Debit
2024-02-07,Starbucks,Food,2008,Debit
2023-08-31,Ola,Transport,885,Debit
2023-12-14,Starbucks,Food,895,Debit
2023-12-15,Uber,Transport,602,Debit
2023-03-20,Swiggy,Food,809,Debit
2023-03-24,Uber,Transport,286,Debit
2023-10-01,Zomato,Food,1435,Debit
2024-12-31,Ola,Transport,1448,Debit
2023-02-19,Swiggy,Food,2054,Debit
2023-03-02,Spotify,Music,199,Debit
2024-01-15,Swiggy,Food,853,Debit
2023-06-15,Uber,Transport,2080,Debit
2024-12-06,Uber,Transport,609,Debit
2024-05-30,Starbucks,Food,1213,Debit
2023-07-15,Ola,Transport,751,Debit
2024-07-23,Zomato,Food,953,Debit
2024-06-22,Flipkart,Shopping,1793,Debit
2024-05-25,Mobile Recharge,Utilities,765,Debit
2023-05-29,Starbucks,Food,817,Debit
2023-11-05,Zomato,Food,1098,Debit
2023-01-01,Netflix,Entertainment,649,Debit
2023-10-03,Swiggy,Food,855,Debit
2024-09-22,Uber,Transport,1225,Debit
2024-12-30,Flipkart,Shopping,2054,Debit
2023-05-17,Zomato,Food,2101,Debit
2024-10-22,Google Drive,Cloud,260,Debit
2023-06-09,Zomato,Food,1441,Debit
2024-03-26,Hotstar,Entertainment,399,Debit
2023-01-15,Zomato,Food,1035,Debit
2024-11-22,Amazon,Shopping,2158,Debit
2023-07-30,Flipkart,Shopping,1769,Debit
2024-10-28,Uber,Transport,1773,Debit
2023-06-04,Swiggy,Food,508,Debit
2023-03-28,Starbucks,Food,1469,Debit
2024-11-01,Uber,Transport,1627,Debit
2023-04-01,Electricity Bill,Utilities,3427,Debit
2023-02-12,Flipkart,Shopping,1495,Debit
2023-03-13,Zomato,Food,539,Debit
2023-11-24,Amazon,Shopping,1108,Debit
2023-04-14,Starbucks,Food,301,Debit
2023-02-18,Swiggy,Food,1446,Debit
2023-10-31,Ola,Transport,917,Debit
2024-10-17,Starbucks,Food,305,Debit
2023-04-12,Uber,Transport,778,Debit
2023-06-12,Swiggy,Food,1211,Debit
2024-09-13,Zomato,Food,1058,Debit
2024-02-25,Internet Bill,Utilities,1535,Debit
2023-08-06,Flipkart,Shopping,1125,Debit
2024-12-21,Spotify,Music,199,Debit
2024-12-23,Starbucks,Food,765,Debit
2024-01-26,Salary,Income,42000,Credit
2024-11-11,Zomato,Food,606,Debit
2024-04-30,Uber,Transport,488,Debit
2024-07-10,Flipkart,Shopping,650,Debit
2024-07-11,Ola,Transport,268,Debit
2023-03-01,Flipkart,Shopping,1060,Debit
2024-07-06,Starbucks,Food,955,Debit
2024-10-21,Ola,Transport,2036,Debit
2024-07-26,Flipkart,Shopping,569,Debit
2024-06-02,Zomato,Food,1989,Debit
2024-08-30,Zomato,Food,1995,Debit
2024-12-18,Starbucks,Food,512,Debit
2024-01-29,Amazon,Shopping,1586,Debit
2024-11-10,Zomato,Food,1890,Debit
2023-06-23,Zomato,Food,839,Debit
2023-10-15,Swiggy,Food,1953,Debit
2024-07-24,Spotify,Music,199,Debit
2024-07-03,Starbucks,Food,768,Debit
2024-01-01,Amazon,Shopping,1148,Debit
2024-01-07,Amazon,Shopping,2029,Debit
2023-05-18,Zomato,Food,1332,Debit
2023-03-20,Starbucks,Food,1708,Debit
2024-10-05,Uber,Transport,388,Debit
2023-10-07,Flipkart,Shopping,724,Debit
2023-11-27,Electricity Bill,Utilities,3693,Debit
2024-04-30,Flipkart,Shopping,1474,Debit
2024-04-23,Uber,Transport,1146,Debit
2024-10-22,Electricity Bill,Utilities,3679,Debit
2023-08-21,Uber,Transport,572,Debit
2023-04-04,Starbucks,Food,1219,Debit
2024-09-29,Starbucks,Food,1538,Debit
2023-05-31,Apple Music,Music,199,Debit
2024-10-08,Uber,Transport,913,Debit
2024-09-04,Amazon,Shopping,1986,Debit
2024-11-22,Uber,Transport,377,Debit
2024-11-18,Starbucks,Food,1955,Debit
2023-06-12,Uber,Transport,1262,Debit
2024-11-15,Swiggy,Food,997,Debit
2023-07-22,Zomato,Food,679,Debit
2024-10-31,Zomato,Food,1563,Debit
2024-03-17,Swiggy,Food,1174,Debit
2023-01-23,Flipkart,Shopping,885,Debit
2023-01-20,Zomato,Food,1027,Debit
2023-09-28,Mobile Recharge,Utilities,972,Debit
2024-01-04,Zomato,Food,1647,Debit
2024-08-05,Amazon,Shopping,1264,Debit
2023-01-31,Spotify,Music,199,Debit
2024-05-01,Amazon,Shopping,1208,Debit
2024-08-02,Swiggy,Food,1279,Debit
2023-05-25,Zomato,Food,1877,Debit
2024-01-01,Starbucks,Food,1284,Debit
2024-01-19,Flipkart,Shopping,1811,Debit
2023-01-29,Zomato,Food,2096,Debit
2024-03-22,Flipkart,Shopping,483,Debit
2024-08-26,Swiggy,Food,2058,Debit
2023-11-25,Ola,Transport,1346,Debit
2023-08-01,Swiggy,Food,1868,Debit
2023-03-19,Flipkart,Shopping,2102,Debit
2024-10-09,Amazon,Shopping,2101,Debit
2024-08-09,Flipkart,Shopping,1241,Debit
2024-01-23,Amazon,Shopping,2113,Debit
2023-09-09,Starbucks,Food,448,Debit
2023-03-02,Netflix,Entertainment,649,Debit
2023-12-15,Zomato,Food,855,Debit
2023-11-30,Ola,Transport,401,Debit
2023-03-04,Amazon,Shopping,1502,Debit
2023-04-06,Starbucks,Food,555,Debit
2023-10-19,Amazon,Shopping,1351,Debit
2023-10-08,Zomato,Food,1596,Debit
2023-10-21,Flipkart,Shopping,919,Debit
2024-04-11,Ola,Transport,1857,Debit
2023-12-03,Starbucks,Food,1111,Debit
2024-12-17,Starbucks,Food,1471,Debit
2024-06-23,Flipkart,Shopping,376,Debit
2024-02-19,Starbucks,Food,1064,Debit
2023-09-29,Starbucks,Food,1034,Debit
2023-07-04,Ola,Transport,1017,Debit
2023-05-13,Flipkart,Shopping,1936,Debit
2023-10-03,Amazon,Shopping,1628,Debit
2024-05-25,Personal Loan EMI,EMI,8700,Debit
2024-10-09,Zomato,Food,373,Debit
2024-01-20,Swiggy,Food,548,Debit
2023-01-17,Amazon,Shopping,1342,Debit
2023-11-08,Zomato,Food,967,Debit
2023-05-31,Personal Loan EMI,EMI,8700,Debit
2024-04-05,Flipkart,Shopping,903,Debit
2024-09-28,Flipkart,Shopping,2121,Debit
2023-06-30,Netflix,Entertainment,649,Debit
2023-05-31,Flipkart,Shopping,864,Debit
2024-11-04,Amazon,Shopping,545,Debit
2024-08-03,Ola,Transport,833,Debit
2024-08-10,Uber,Transport,1570,Debit
2023-01-02,Swiggy,Food,542,Debit
2024-09-21,Uber,Transport,2038,Debit
2024-07-08,Starbucks,Food,1203,Debit
2023-12-01,Flipkart,Shopping,1917,Debit
2023-05-01,Google Drive,Cloud,260,Debit
2024-04-08,Swiggy,Food,1308,Debit
2023-05-13,Ola,Transport,925,Debit
2024-08-04,Ola,Transport,2098,Debit
2023-04-25,Swiggy,Food,786,Debit
2023-01-25,Amazon,Shopping,1397,Debit
2023-06-01,Zomato,Food,498,Debit
2023-06-30,Amazon Prime,Shopping,299,Debit
2024-02-25,Flipkart,Shopping,1871,Debit
2024-01-27,Swiggy,Food,1319,Debit
2023-10-27,Starbucks,Food,1621,Debit
2024-04-01,Zomato,Food,1827,Debit
2024-06-18,Flipkart,Shopping,806,Debit
2023-05-07,Uber,Transport,256,Debit
2023-08-17,Flipkart,Shopping,1546,Debit
