Date,Transaction Description,Category,Amount,Type
2023-10-22,Ola,Transport,948,Debit
2024-05-07,Flipkart,Shopping,384,Debit
2023-06-08,Starbucks,Food,2436,Debit
2023-09-27,Ola,Transport,768,Debit
2023-03-05,Uber,Transport,476,Debit
2023-11-30,Ola,Transport,373,Debit
2023-12-05,Uber,Transport,950,Debit
2023-03-16,Uber,Transport,2158,Debit
2023-11-07,Flipkart,Shopping,798,Debit
2023-11-05,Starbucks,Food,1014,Debit
2023-05-23,Ola,Transport,682,Debit
2023-07-11,Amazon,Shopping,369,Debit
2023-02-11,Ola,Transport,2153,Debit
2023-07-11,Swiggy,Food,1675,Debit
2024-12-14,Blinkit,Groceries,1222,Debit
2023-03-30,Uber,Transport,543,Debit
2023-12-01,Amazon,Shopping,607,Debit
2024-10-02,Zomato,Food,2027,Debit
2023-04-04,Starbucks,Food,2085,Debit
2024-06-24,Mobile Recharge,Utilities,866,Debit
2023-02-04,Zomato,Food,1813,Debit
2023-11-11,Swiggy,Food,1874,Debit
2024-11-10,Blinkit,Groceries,1601,Debit
2023-08-29,Netflix,Entertainment,549,Debit
2024-01-28,Ola,Transport,2144,Debit
2024-02-25,Amazon Prime,Shopping,299,Debit
2023-08-25,Blinkit,Groceries,1691,Debit
2024-01-26,Mobile Recharge,Utilities,757,Debit
2023-08-16,Ola,Transport,2355,Debit
2024-11-18,Amazon,Shopping,796,Debit
2023-02-27,Uber,Transport,2358,Debit
2024-11-24,Blinkit,Groceries,544,Debit
2024-10-14,Flipkart,Shopping,1730,Debit
2023-01-19,Flipkart,Shopping,2394,Debit
2024-08-10,Uber,Transport,1042,Debit
2024-10-02,Flipkart,Shopping,2249,Debit
2024-04-25,Google Drive,Cloud,260,Debit
2023-06-30,Mobile Recharge,Utilities,686,Debit
2024-03-26,YouTube Premium,Entertainment,189,Debit
2024-09-11,Ola,Transport,1251,Debit
2024-06-19,Amazon,Shopping,1956,Debit
2023-04-10,Ola,Transport,1938,Debit
2024-05-23,Swiggy,Food,1012,Debit
2023-11-27,Starbucks,Food,1178,Debit
2024-04-25,Internet Bill,Utilities,1065,Debit
